"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M725.5295T720.2","725.529533815771","720.225","100249.692118672","105669.958094729","98550.8963971979","98106.7140724622","99922.6295454362"
"M733.55T663.2","733.550016018531","663.202087402344","1500715.3683186","1467425.48242676","1471968.45436815","1472465.34344827","1476248.76630561"
"M740.5214T708.1","740.521436065402","708.093","219956.02178798","216984.866121091","204555.075490615","203772.271553488","212128.431122724"
"M744.4254T344.1","744.42538387923","344.115875244141","165937.167243451","166007.276316376","174600.678481155","171876.108738576","159156.326382715"
"M764.2896T500.6","764.289594383545","500.62600000002","94089.8835289176","96030.1904373698","90265.5049094394","87620.6166502583","91443.833667023"
"M772.5271T717.8","772.527079437076","717.799072265625","122122.464792102","116127.940352119","106386.663144183","111403.760613925","113512.149982991"
"M774.5429T734.8","774.54286815166","734.783813476562","147163.928428368","146812.608332953","144974.134788221","144036.383767545","144567.283093615"
"M804.5764T712.9","804.576373734417","712.946228027344","6724888.51954925","6719916.53822957","6579010.92324515","6659326.91212694","6654870.10089842"
"M806.5964T781.5","806.596416674997","781.49299999998","334274.519706403","317110.849258151","300154.889279927","294412.713752813","303628.972233818"
"M816.6105T735.4","816.610518489881","735.39111328125","149234.705082299","145093.969579654","146584.956507903","139278.067850023","141993.143543064"
"M824.5448T682","824.544843612116","682.008911132812","2344705.22105494","2318558.28228312","2276399.42453503","1411602.63621175","2302636.0803742"
"M827.5635T697.2","827.56348612409","697.174255371094","2305231.88102931","2293629.90725743","2209004.77932622","2213218.36733732","2276063.07716788"
"M827.5631T685.6","827.56306292806","685.647827148438","1568057.13292501","1627715.30666613","1634424.29105607","1650953.49554885","1587531.10378453"
"M848.5434T672.3","848.543423334666","672.302001953125","322076.384130438","309959.895638708","299753.98804292","294782.760265086","299730.908772019"
"M854.6711T758.4","854.671117980862","758.442","68147.4487116439","72700.687151624","66391.1903150515","69265.5979927258","73154.410437634"
"M856.607T729.9","856.6070263252","729.931213378906","2018829.26783671","2037390.339982","1888367.40124677","1908367.14987592","1932399.20768093"
