"","mz","rt","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","nist","nist","nist","nist","nist"
"M478.2937T505.5","478.293729357938","505.479156494141","1851339.97605822","1879152.51606529","1803999.38206729","1808703.95152259","1867995.54698292"
"M479.2833T429","479.283288684352","429.042","565456.961583762","566531.180659887","557542.213442712","550237.752336401","542799.485795022"
"M480.3094T537.6","480.309378796661","537.628967285156","1242446.69415738","1221551.49260954","1206732.40266181","1204496.3724785","1205365.44256006"
"M481.2799T387.8","481.279949505826","387.792","150626.548286059","145484.12427245","144188.450024713","146481.444558984","146180.041553869"
"M487.2907T504.9","487.290666536023","504.87199999998","236673.851142219","228264.848449921","235341.903169457","220738.223742952","216385.519395773"
"M487.3268T428.4","487.326844172129","428.434936523438","110188.815392528","105059.645757444","104089.713026048","105532.385577605","105135.232599141"
"M489.3054T532.2","489.305362621943","532.169006347656","101242.869126263","104168.263902771","107656.067878488","99248.6751093756","97172.5836032222"
"M493.3353T626.8","493.335303929068","626.803649902344","177847.242666025","185639.878707605","195915.857725912","177650.054119732","175035.935964967"
"M493.3892T615.9","493.389202125022","615.883911132812","338150.261761523","329663.289172853","312657.835371581","316653.085986205","321198.922516675"
"M495.2781T369","495.278087162459","368.98699999998","91645.0253447602","86100.3131129314","84182.3295270104","84557.9644658205","86323.6546247387"
"M495.4049T630.1","495.40488648231","630.140233642588","658326.900830059","509239.146312021","485708.632599636","472434.422120812","491926.394728498"
"M498.2619T458.2","498.261946297013","458.160461425781","92387.5097956165","100501.661778498","96183.4232305785","100709.106850043","88750.8908616177"
"M498.2885T341.7","498.288491964541","341.689392089844","384837.696200706","377348.885807356","366435.318084082","371196.473231591","395318.143385815"
"M499.3188T571","499.318802722652","570.993020996094","115898.513445536","117712.385801428","107163.239310769","107282.754083736","106155.702729113"
"M501.3944T640.8","501.394357812965","640.757690429688","1008193.43476849","1014484.14195933","968666.384390157","969267.399692411","1009123.80965857"
"M502.293T497","502.29297882002","496.986026733398","241634.482073045","241601.2204832","242729.473523378","230765.245833185","236367.348572226"
"M503.4099T653.5","503.409915806916","653.495910644531","401868.794734632","386296.087061013","367807.470351829","380512.057912246","375337.747264787"
"M507.2229T411.4","507.222930530217","411.45","360715.809393844","349699.842096113","337371.665435864","335242.989582921","341097.317318205"
"M510.253T319.2","510.252959043427","319.244384765625","923130.59134855","963071.929749017","962561.637850946","952289.810520444","884003.804793384"
"M511.3999T564.3","511.399871241304","564.319946289062","759783.658688738","475766.218460411","461820.749654699","464607.783141369","457997.866874027"
"M511.3993T598.3","511.399323783564","598.290832519531","150640.202213115","149818.429193115","153960.802824056","147694.920278509","146116.624125004"
"M512.2994T442.4","512.299433146165","442.388580322266","1762020.22867701","1745746.20047198","1699503.89650057","1710209.61182267","1767108.72838387"
"M513.0884T295","513.088372422692","294.979034423828","45783.6643245868","44406.0925862092","43618.680135988","41621.5024776445","40409.8369789366"
"M517.389T574.6","517.389001935951","574.632995605469","258610.851472961","251753.254028565","249070.61062607","250899.542681205","258614.681779613"
"M524.2777T480","524.277719996391","480.001003540049","1057567.82987303","1059088.90501417","1028187.24795389","1045031.98398733","1060850.69435842"
"M526.3145T465.4","526.314492663411","465.441467285156","692092.14576281","672460.212062489","655344.73072016","657467.922573226","678505.851319673"
"M528.2631T327.1","528.263113011556","327.130584716797","544499.7300245","530524.306140851","524152.185916272","524975.916316218","536608.816363514"
"M528.3093T515.2","528.309263034386","515.18403124998","81252.3252104731","97875.9363609327","91119.7757513426","78758.5249077716","82739.9021522502"
"M529.4256T663.2","529.425563318853","663.203125","442292.232421481","700028.240133848","665050.606277487","661671.72183665","693134.391733495"
"M530.3012T487.3","530.301192518417","487.279998779297","748574.1875454","759634.969605913","754821.826246416","725526.154331311","739093.961120017"
"M533.4563T682","533.456328404754","682.009094238281","212115.995372287","273808.165139238","262485.480317188","268282.238423422","281045.594870733"
"M537.4157T581.3","537.415711597779","581.306030273438","1297366.57270325","1306164.36621716","1260194.33793888","1273004.6382936","1308742.56675628"
"M538.3153T456.9","538.315346647563","456.949170410166","3982247.38736943","3921861.62923269","3671108.73056848","3717142.00898542","3940101.28562139"
"M539.4312T597.7","539.431166691592","597.684","985159.78773007","1042418.81939933","948690.105422507","938178.400900686","1017234.66430649"
"M541.2647T263.4","541.264740970357","263.388519287109","135677.351659539","145655.902249205","149565.211803738","143294.242146719","142948.385532049"
"M543.3452T564.9","543.345187320155","564.926940917969","138010.006840327","132883.049080643","121969.788873096","125447.755977325","131376.707366308"
"M544.265T479.4","544.265020507984","479.394006225586","123377.252454271","115037.818210175","103174.947067514","56377.9022688405","115834.897848069"
"M545.4201T607.4","545.420103154827","607.391418457031","155525.400269532","156792.435841526","189557.75770932","147304.347687567","153925.290447928"
"M550.3508T518.2","550.350796843437","518.218017578125","128827.402274675","123733.781542639","120214.925107516","122366.772677732","122045.239762748"
"M552.3297T478.8","552.329663665197","478.786834716797","159537.449980757","167561.819359309","179005.102846426","175526.392680078","185666.38867901"
"M552.3664T517","552.366407992239","517.00403125002","623867.922330685","613004.278506804","601922.685864052","600389.163689764","614967.236398168"
"M554.3012T472.1","554.301206692935","472.114898681641","468290.053033919","492818.330140957","447282.132682802","451060.431278654","470520.86074234"
"M554.346T509.1","554.345963828418","509.1181640625","1593792.75577381","1584275.54372853","1521828.64469895","1505914.87036076","1562562.52481068"
"M556.3175T500","556.317517093353","500.019165039062","496688.475494385","519335.848130769","502542.18890703","475698.134970917","503772.178814698"
"M556.3257T359.3","556.325739273368","359.279632568359","306632.711910623","293546.845240323","280788.734105691","314647.933099866","293778.275965522"
"M558.3325T531.6","558.332454673239","531.56298828125","699979.89066241","725067.883602566","679387.324070049","690950.677971529","708411.790614625"
"M559.4719T692.3","559.471897767943","692.32099999998","2665954.14967782","2641375.84337228","1574098.31494319","2504556.93683978","2603593.77675332"
"M561.4874T704.5","561.487437558109","704.45299999998","635312.236358383","682028.941662539","617927.19022393","686996.552585521","598126.556771243"
"M564.2518T479.4","564.251757719964","479.393929931641","35671.902989322","38202.8398812591","34511.7232668607","30804.403448841","33558.6206274267"
"M564.3306T473.3","564.330618850275","473.327499389648","23650540.2102028","23568964.6517826","23041837.5577977","23226705.465334","23784362.9896711"
