"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M401.3408T590.4","401.340787681743","590.393188476562","438.981383870797","169.227754827981","257.933166058342","129.107786531188","425.592014957406","157711.609807492","150566.055806164","153165.954535083","143312.769309266","148847.572355546"
"M401.3453T439.9","401.345348996248","439.949005126953","652.096600701961","697.023092508209","239.757282831133","192.653581491821","527.168157068007","348311.744270363","347192.305542285","346122.327686055","344486.319960584","341775.538772224"
"M401.7644T677.1","401.764424296849","677.139038085938","0","240.131956243073","170.495530692977","0","147.031989107329","411192.462401572","399138.689314564","402535.322494206","415416.518309094","403256.820079617"
"M402.1698T204","402.169804375734","203.974533081055","154.897937262431","0","151.14005978331","0","420.197727281973","33291.8722624878","36759.5151760437","35033.7846681983","32425.0752881109","33218.3740824207"
"M402.2125T594.6","402.212526117543","594.639","1912.25990763213","5077.66194243667","2725.25328991128","2228.0583385241","2627.44790697967","16361.4192375424","17951.7324222434","13998.6382596205","18501.946717371","17683.1811990111"
"M402.2429T547.9","402.242882963556","547.926696777344","5055.69671163708","2709.29654322996","4428.35436719377","2558.60432337038","1401.60085803249","73033.2626899175","86244.4698703886","76201.431435352","74521.5833965969","71572.8174925468"
"M402.2652T677.1","402.265195206886","677.139038085938","198.532675061856","652.971878972115","0","195.692625197582","374.602535940707","172462.113004513","172396.584028597","173831.544087213","171388.696135333","177812.577827194"
"M402.2697T537.6","402.269682331645","537.614868164062","0","0","0","216.302398690581","149.440163704877","31055.9003944205","26560.311394821","29104.8028673922","27253.8321018309","26316.9352954884"
"M402.3439T591","402.34394963048","590.995483398438","0","296.585162127881","0","0","431.324057272635","45627.4415874712","43859.1992582707","42042.7913905997","48378.3893329565","46142.4187300778"
"M402.3499T440.6","402.349883394395","440.554840087891","441.223731646329","0","570.843318687106","0","1077.94955859791","57437.623026892","57040.3424884018","61164.7196069833","61481.8035141781","61698.0842103055"
"M402.7645T677.1","402.764515012106","677.139","0","186.971282029897","0","0","442.720476154336","82704.7401270993","76670.1097589352","76269.7193521958","76726.677526522","73360.407428828"
"M402.7726T686.2","402.772639293066","686.239929199219","568.603934084019","332.014340493362","400.83017675383","229.795275297016","257.811804655743","44173.4425606106","47065.858013496","49654.0424621724","46529.1127126205","47809.3674025871"
"M403.1547T579.5","403.15470020415","579.472686767578","1444.37267317705","1076.10727078509","543.898493068083","570.504298511496","561.868234557446","47856.3235141236","49835.6591590686","46811.1804353537","44673.6227438163","44720.8370722995"
"M403.1858T553.4","403.185792001101","553.38700000002","5907.04988795241","7352.5512293236","7885.92856303088","5750.33281209152","6909.79507627273","26197.1528365608","23378.2487815431","23246.455308855","25544.5367656921","23401.6166898599"
"M403.2438T547.3","403.243847424749","547.32100000002","1822.65570522099","1973.69445547192","434.101738904024","5077.80998205062","1495.64640011822","25708.0229257614","24010.1216910948","24572.1593473858","24899.2411596174","20314.8603757046"
"M403.2815T553.4","403.281469301226","553.38700000002","267.981069033965","0","0","0","0","38328.5224429057","35075.2729614611","34053.3873128271","42050.471550392","33618.0907907992"
"M404.1276T335.6","404.127648942229","335.61100000002","0","0","0","0","0","59286.375628543","51504.5589792031","46235.5455278524","47974.018356031","48119.2015698491"
"M404.7339T670.5","404.733854722156","670.46599999998","250.188790362639","0","130.583778361635","0","0","49257.1645797902","44726.7472935065","50510.0956053855","53995.2741701824","55077.9992321217"
"M404.8912T221","404.891239431458","220.960113525391","266.901245037669","208.45238589936","0","151.299634521596","290.033853791489","7033.92408872596","7332.24508375054","8085.7579559104","8017.23982368163","8629.51739896847"
"M405.1521T345.9","405.152146884822","345.923004150391","389.732793631377","313.249210981222","1025.38561961284","1438.98574507678","478.547458754645","29442.7745954289","37360.8919158643","30482.9265053036","35439.4285727231","34489.1133000377"
"M405.1559T578.9","405.155948510442","578.863830566406","0","363.742963431403","1739.43036475219","0","439.624640343138","20843.8692677821","22254.5312669906","25951.0893531536","28280.9217524913","23117.338699426"
"M405.2358T670.5","405.235784925081","670.466003417969","677.887517783622","930.138625552116","273.709486295384","780.467018222338","551.668968636935","24590.048919282","25511.0853926702","21976.6300470613","25367.3700788876","27491.4568128511"
"M405.2441T680.2","405.244073676952","680.171997070312","0","270.835961040956","753.100305765529","1319.40146355687","415.713367269967","28333.2206832778","29564.33113491","28987.9277564206","29045.7290201659","26571.1729625245"
"M405.2641T691.1","405.264118407143","691.090515136719","0","294.434660630301","0","732.072218703904","0","7385.73907142847","9042.65906308581","9220.58359194209","8447.87593063005","8964.24695835651"
"M405.7351T670.5","405.735073207449","670.466979980469","0","0","0","0","0","23003.4912084962","29329.5500511355","22930.3488363958","22360.0307697511","19186.1746573894"
"M405.7414T680.8","405.741435174559","680.778076171875","535.101029849567","172.137956107022","0","141.294093803528","158.273185973848","140616.186031881","128767.187118711","123228.932701991","136098.01638424","132957.562072873"
"M405.7713T708.7","405.771325617319","708.68299999998","0","0","0","0","0","20026.6624598276","20270.9444423826","21460.5865156019","21904.6829902904","21604.7825585817"
"M406.1638T151.8","406.163751978467","151.800994873047","0","0","0","0","0","86668.7794987068","82533.8350848069","86173.4268275691","81999.7685208516","82238.0780620833"
"M406.2356T670.5","406.235605145005","670.466003417969","892.304187148658","1053.62986327045","1671.6230693408","0","746.791537922047","21250.1893802393","21122.3274070784","15048.8763457634","18195.5369701312","14647.7965600587"
"M406.2402T643.2","406.240222289205","643.167846679688","10777.0611783137","9855.79288854298","9407.46178517558","11057.9396232234","12998.2758101461","71772.2548974352","66551.4336933063","51068.775330297","57522.2315991716","54158.9615889085"
"M406.243T680.2","406.243040408923","680.17236328125","2195.9446262052","2444.19929420428","938.635797596087","1902.50970944511","877.212905130693","66876.869785683","62348.1264089612","71002.2574787703","62744.5698020608","67803.3366559011"
"M406.7424T680.8","406.742409185545","680.778991699219","1409.28286442161","1740.96111834049","272.039417497814","1438.86257160514","1323.9936003485","86678.3771745022","75745.0688308408","78428.1500452401","86262.8956993601","82959.0181765837"
"M406.7597T665","406.759703185445","665.007","0","0","0","196.748793092091","0","33194.6756223802","38149.8074246423","36897.6803204165","35995.0195222253","33038.4372832204"
"M407.1715T605.6","407.171511296405","605.55799999998","1246.89808702032","3939.54318209365","1840.84078244152","1921.45160554871","2165.652856747","49380.8772985137","46435.8173208059","46110.7729612177","44540.2671865621","42294.9915122736"
"M407.1885T81.4","407.188488361075","81.4337768554688","0","166.030342029902","525.882037585331","1140.72202295931","1299.50990327225","14763.0958167755","12658.2043943787","12673.511488463","13678.5830072383","13027.9004866346"
"M407.2598T713.5","407.259833535326","713.5361328125","0","310.307786836101","706.021528556068","0","445.720716626021","51164.1814588764","52528.9725666502","50587.4888143491","52250.2324408023","50109.642264551"
"M407.2789T495.2","407.278850710662","495.151000976562","231.221480548458","697.481099997561","550.06011042109","840.531294993384","886.155950897001","42852.4757129143","42263.7856379516","42071.4133855428","42980.1789867772","42923.0082470563"
"M407.75T697.8","407.749999287379","697.763916015625","2062.33070528321","1486.5156379356","623.154884980991","2222.84744172869","1405.15384634025","104023.490397373","110892.847146057","106206.096864314","106885.110777067","102927.082399544"
"M407.7576T712.9","407.757649957825","712.930541992188","221.464989890554","0","0","0","0","120727.517048637","124311.1924446","126930.082300781","131094.585049331","135778.531848663"
