"","mz","rt","GD_012_matrix_RPP_RRHD_B1.mzML","GD_014_matrix_RPP_RRHD_B1.mzML","GD_015_matrix_RPP_RRHD_B1.mzML","GD_017_matrix_RPP_RRHD_B1.mzML","GD_019_matrix_RPP_RRHD_B1.mzML","GD_010_NIST_RPP_RRHD_B1.mzML","GD_011_NIST_RPP_RRHD_B1.mzML","GD_013_NIST_RPP_RRHD_B1.mzML","GD_016_NIST_RPP_RRHD_B1.mzML","GD_018_NIST_RPP_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M152.0704T260.4","152.070414700016","260.390015625","695.820153550152","938.512458495596","1086.35270439361","2487.15121349168","1544.81627641916","14656.1090750368","14209.0774899902","17560.1783839041","14798.3112070863","15621.291413855"
"M153.066T34.1","153.066000411236","34.1180000305176","0","0","409.935986393724","0","258.298898542533","57416.3119441407","63789.8387455939","59061.4749363647","65069.6413113927","57443.770850051"
"M153.0734T40.8","153.073440294775","40.791","0","0","0","0","0","42759.5481103584","37689.3533114599","41171.1861720452","44575.8965925293","44632.8276155599"
"M153.1272T92.4","153.127191847649","92.35300000002","0","0","239.592993707795","216.842310455882","811.603150360951","50161.960186455","50105.3804997463","51383.276736962","51754.4898681756","51470.7938722539"
"M153.1272T206.4","153.127200048566","206.400695800781","555.1177521809","1776.64735540341","640.726412691208","512.649457677934","1004.69680776498","22903.664667542","20183.7651983614","19425.1753281664","22554.7039519694","20666.8891108573"
"M153.5545T353.2","153.55454740483","353.199295043945","32261.8054145149","31623.6337180649","32312.1159546203","30405.3730054187","24174.7530169932","30399.9368671885","26826.4783300325","40292.1241757995","30908.5185637766","29253.966205759"
"M153.5725T364.7","153.57254938086","364.72900000002","10334.4636551847","11190.0038063766","14353.7197815053","10364.1553764937","11962.98400935","12437.0742317505","10602.5186339831","11309.5748744384","9709.67810957907","8791.87810556904"
"M154.0479T32.9","154.04785835392","32.9040031433105","438.828590972786","133.51364133041","148.389933349921","144.832201992955","0","124472.847185916","120054.439359369","135984.122230279","126263.648018742","127648.13601765"
"M154.0838T34.7","154.083810285649","34.72399999998","0","0","0","130.685248413082","0","147102.433765599","137639.138396924","131008.507460376","132421.471834717","135796.086591154"
"M154.1305T91.7","154.130481896734","91.7470550537109","0","0","0","0","0","5577.62792767494","6151.71891197342","4076.46592053889","4456.69833737041","6071.22977761232"
"M155.0027T481.2","155.002666403444","481.19899999998","878566.497817888","890633.738815512","860653.21005182","863912.537254966","871808.728464475","416907.1648744","410303.261847239","394151.4573522","401572.7813172","396408.63334302"
"M155.0027T495.2","155.00267854301","495.151000976562","759385.713683265","760056.140139699","676896.40614203","799193.259832334","801335.165467715","475268.44899932","463994.09442524","445541.978859415","434927.518768448","424086.619230897"
"M155.0027T568.6","155.002664981186","568.555603027344","998582.918804396","1052207.78716714","1026327.52544091","1017977.54291231","1000554.76943171","822934.078705074","802464.381142339","831186.426829382","812872.145777541","802701.764542325"
"M155.0026T542.5","155.002627877239","542.4677734375","1065727.14747539","1042348.70567668","1031585.65439487","985082.465465183","1068275.04787351","881304.422683639","800081.573187912","841366.079260865","828526.055446834","768959.65398526"
"M155.1065T353.2","155.10645616294","353.199295043945","59747.5795841528","59261.6295248379","57423.194728864","61982.1107698786","57520.4377738403","59035.1353157092","59922.6232121231","57852.0162040652","63488.1151741287","56473.0251214714"
"M155.118T39.6","155.117964671252","39.5769996643066","0","0","0","0","0","35771.4265528922","34969.5945935227","38466.3226094897","41263.9550997398","31161.2648094454"
