"","mz","rt","GD_022_matrix_RPN_RRHD_B1.mzML","GD_023_matrix_RPN_RRHD_B1.mzML","GD_025_matrix_RPN_RRHD_B1.mzML","GD_027_matrix_RPN_RRHD_B1.mzML","GD_029_matrix_RPN_RRHD_B1.mzML","GD_020_NIST_RPN_RRHD_B1.mzML","GD_021_NIST_RPN_RRHD_B1.mzML","GD_024_NIST_RPN_RRHD_B1.mzML","GD_026_NIST_RPN_RRHD_B1.mzML","GD_028_NIST_RPN_RRHD_B1.mzML"
"group","mz","rt","matrix","matrix","matrix","matrix","matrix","nist","nist","nist","nist","nist"
"M161.1335T421.8","161.133523857477","421.762969970703","0","238.259822449901","0","0","0","15168.4692986938","13531.787988502","16472.5585824474","15194.6087739257","17080.5756970591"
"M163.0765T384.2","163.076476484988","384.15199999998","0","199.754672124982","198.334814941182","199.513151049614","241.940103396773","13690.2980849874","12183.6109100101","15309.5986846505","11314.5089200847","16529.2422846198"
"M165.0407T465.4","165.040721463919","465.44170312501","73234.2721020573","75302.3797417963","73607.5530406495","73465.1562823242","73821.8411919804","56069.7156935741","82263.0371811653","88456.9242955074","98305.5757372323","125372.25482981"
"M165.0407T711.7","165.040721465519","711.732","30045.2681049328","27647.9900259691","27378.5515792727","19341.3221223492","29657.4401460142","120433.128254578","230620.787861828","533417.487320854","623396.110412561","320533.602949059"
"M165.0408T621.4","165.040760513047","621.372314453125","63536.6528485839","60678.7087464502","63922.8942358396","62459.2431951031","63381.7506468702","53903.676846639","108320.674397222","205027.146083596","239512.831418754","163058.79359963"
"M165.0408T619.5","165.04082500646","619.522583007812","52965.7751409447","66951.5312965477","55623.0292150203","61099.7643826288","63590.4444763941","51038.4861916953","102376.55280554","192651.654604748","234206.822995757","157550.002850636"
"M165.0556T184.6","165.055579929703","184.57099999998","249.834547398301","123.516165947986","225.465365257199","564.148433351978","153.543426758898","74569.9961002808","73218.5242120627","76364.4285179686","70578.3443776437","73326.7134036987"
"M167.0213T33.7","167.021290846704","33.6911773681641","0","0","0","0","0","343963.594189908","322773.062692009","350344.061369881","329941.696606275","324773.064264488"
"M167.0347T202.2","167.034692900555","202.210540771484","951.798965764173","151.408141256621","528.229772176897","1291.37509567718","908.91291898907","29084.2488777247","28613.3350685119","29671.9172752943","29085.0882856018","24063.8709486898"
"M171.0279T36.2","171.027885502644","36.2451705932617","345.046290938321","0","161.715103197702","172.249428647761","0","47083.1812452026","49117.1947536359","52143.5914233832","55616.6719149869","48671.4157869547"
